Date,vix,spx,vxx,vix_vol,vix_futures_f1,vix_futures_f2,term_structure,spx_ma50,spx_trend,vix_change,vix_ma10,market_state,market_state_smooth,ts_signal,vix_futures_vol,ts_position_size,ts_position,ts_returns,ts_signal_change,ts_returns_trade_cost,ts_returns_short_cost,ts_returns_net,etf_signal,hedge_ratio,etf_position,etf_returns,etf_signal_change,etf_returns_trade_cost,etf_returns_short_cost,etf_returns_net,ts_weight,etf_weight,ts_target_weight,etf_target_weight,dynamic_returns,equal_weight_returns
2014-12-11,20.07999992370605,2035.3299560546875,,2.062337722781142,19.65799116438356,19.693874540643638,0.99817794227408,1999.6246044921877,0,8.36480938814872,14.528000164031983,2,1,1.0,1.4931704028736168,0.5,0.5,0.015439879054058414,0.0,0.0,0,0.015439879054058414,-1.0,0.9,-0.9,,1.0,0.0015,5.9523809523809524e-05,,0.2,0.8,0.2,0.8,,
2014-12-12,21.07999992370605,2002.3299560546875,,2.61552957554758,20.892993738069265,21.24093029215362,0.9836195237544336,2000.747802734375,0,4.980079700196716,15.303000164031982,2,2,1.0,1.4876519660452445,0.5,0.5,0.0314122273064017,0.0,0.0,0,0.0314122273064017,-1.0,0.9,-0.9,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-12-15,20.420000076293945,1989.6300048828125,,2.94428707137717,20.57303178970691,20.74126396687109,0.9918890103595958,2001.18240234375,0,-3.13092907875151,15.929000186920169,2,2,1.0,1.4893167038201904,0.5,0.5,-0.007657158958970789,0.0,0.0,0,-0.007657158958970789,-1.0,0.9,-0.9,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-12-16,23.56999969482422,1972.739990234375,,3.5555597302690263,23.95067226754067,24.474185255244823,0.9786095846605573,2001.340803222656,0,15.42605096357066,17.001000118255615,2,2,1.0,1.54176992991555,0.5,0.5,0.08208903073594775,0.0,0.0,0,0.08208903073594775,-0.5,0.9,-0.45,,0.5,0.00075,2.9761904761904762e-05,,0.3,0.7,0.3,0.7,,
2014-12-17,19.440000534057617,2012.8900146484373,,3.671856393821684,19.22841338843209,19.780234399147947,0.972102402854254,2002.8966040039063,0,-17.52227074348888,17.695000171661377,2,2,1.0,1.7401565793493425,0.5,0.5,-0.09858301316887158,0.0,0.0,0,-0.09858301316887158,-1.0,0.8776000213623046,-0.8776000213623046,,0.5,0.00075,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-12-18,16.809999465942383,2061.22998046875,,3.670027832864487,16.876670004313354,16.948076538533197,0.9957867470059216,2004.7434033203128,1,-13.528811707117203,18.138000106811525,6,2,1.0,1.8092833344641317,0.5,0.5,-0.06115281943994294,0.0,0.0,0,-0.06115281943994294,-1.0,0.7723999786376953,-0.7723999786376953,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-12-19,16.489999771118164,2070.64990234375,,3.6474753759952665,16.11233229555924,16.319144320488427,0.9873270300900804,2007.5922021484373,1,-1.903627037422273,18.598000049591064,6,2,1.0,1.8133024664753934,0.5,0.5,-0.02264480221983256,0.0,0.0,0,-0.02264480221983256,-1.0,0.7595999908447265,-0.7595999908447265,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-12-22,15.25,2078.5400390625,,3.5917689418019534,14.889396687959666,15.034891376974006,0.9903228639724552,2011.0404028320315,1,-7.5197076308636035,18.70200004577637,6,6,1.0,1.8260805617793787,0.5,0.5,-0.0379502974853812,0.0,0.0,0,-0.0379502974853812,-1.0,0.71,-0.71,,0.0,0.0,5.9523809523809524e-05,,1.0,0.0,0.6,0.0,,
2014-12-23,14.800000190734863,2082.169921875,,3.52377053729764,15.46626309239522,15.992431183986762,0.967098930391622,2015.189001464844,1,-2.950818421410728,18.64700002670288,1,6,1.0,1.80448144611144,0.5,0.5,0.01937171856338671,0.0,0.0,0,0.01937171856338671,-1.0,0.6920000076293945,-0.6920000076293945,,0.0,0.0,5.9523809523809524e-05,,1.0,0.0,0.6,0.0,,
2014-12-24,14.369999885559082,2081.8798828125,,3.4399386266634697,15.32961990556654,15.810311803844412,0.9695963049785656,2019.2726000976563,1,-2.905407429960516,18.23099994659424,1,6,1.0,1.806178559937813,0.5,0.5,-0.004417459667289236,0.0,0.0,0,-0.004417459667289236,-1.0,0.6747999954223632,-0.6747999954223632,,0.0,0.0,5.9523809523809524e-05,,1.0,0.0,0.6,0.0,,
2014-12-26,14.5,2088.77001953125,,3.335946876358151,14.738994939209832,14.964643521384952,0.9849212190151634,2023.7982006835937,1,0.9046632948936928,17.672999954223634,1,1,1.0,1.8157848930501879,0.5,0.5,-0.019264175171826603,0.0,0.0,0,-0.019264175171826603,-1.0,0.6799999999999999,-0.6799999999999999,,0.0,0.0,5.9523809523809524e-05,,0.5,0.5,0.2,0.8,,
2014-12-29,15.0600004196167,2090.570068359375,,3.2823259811927707,15.808766847581875,16.336076114651153,0.9677211795924264,2028.3544018554687,1,3.862071859425509,17.071000003814696,3,1,1.0,1.7489578797882994,0.5,0.5,0.03629053109741398,0.0,0.0,0,0.03629053109741398,-1.0,0.702400016784668,-0.702400016784668,,0.0,0.0,5.9523809523809524e-05,,0.4,0.6,0.2,0.8,,
2014-12-30,15.920000076293944,2080.35009765625,,3.248540498961138,16.304818085003067,16.62995860217698,0.9804485071218788,2032.2262036132813,1,5.710488929050994,16.621000003814697,6,1,1.0,1.7491011876356883,0.5,0.5,0.01568911864548972,0.0,0.0,0,0.01568911864548972,-1.0,0.8368000030517577,-0.8368000030517577,,0.0,0.0,5.9523809523809524e-05,,0.30000000000000004,0.7,0.2,0.8,,
